"04/02/2017","15","17","21","29","36"
"04/01/2017","4","16","22","24","25"
"03/31/2017","3","4","19","31","35"
"03/30/2017","1","15","26","33","35"
"03/29/2017","8","15","29","39","40"
"03/28/2017","14","19","27","32","34"
"03/27/2017","8","12","22","23","28"
"03/26/2017","13","28","29","31","40"
"03/25/2017","1","4","16","18","26"
"03/24/2017","5","8","25","31","39"
"03/23/2017","5","8","16","32","33"
"03/22/2017","6","11","15","21","37"
"03/21/2017","19","27","32","36","37"
"03/20/2017","3","10","16","25","34"
"03/19/2017","5","12","18","23","37"
"03/18/2017","1","11","20","30","37"
"03/17/2017","11","16","29","31","39"
"03/16/2017","4","13","23","28","39"
"03/15/2017","9","15","25","28","32"
"03/14/2017","1","7","18","20","25"
"03/13/2017","8","9","25","28","33"
"03/12/2017","4","10","22","26","33"
"03/11/2017","4","8","9","11","27"
"03/10/2017","13","21","26","30","41"
"03/09/2017","1","15","24","33","39"
"03/08/2017","8","11","27","34","41"
"03/07/2017","12","13","14","25","34"
"03/06/2017","14","16","21","31","39"
"03/05/2017","4","17","18","27","37"
"03/04/2017","5","10","11","15","32"
"03/03/2017","6","14","27","35","36"
"03/02/2017","4","14","28","34","38"
"03/01/2017","1","11","14","22","30"
"02/28/2017","4","5","8","23","33"
"02/27/2017","3","6","14","19","32"
"02/26/2017","2","19","20","23","34"
"02/25/2017","3","4","14","18","29"
"02/24/2017","7","10","26","37","41"
"02/23/2017","12","15","19","26","34"
"02/22/2017","9","15","26","27","36"
"02/21/2017","2","5","22","27","34"
"02/20/2017","2","13","14","21","26"
"02/19/2017","8","22","23","29","37"
"02/18/2017","2","18","23","24","36"
"02/17/2017","3","13","19","26","37"
"02/16/2017","15","17","18","24","41"
"02/15/2017","5","8","12","13","34"
"02/14/2017","4","9","13","28","39"
"02/13/2017","6","13","21","28","29"
"02/12/2017","1","7","17","29","38"
"02/11/2017","11","18","25","31","39"
"02/10/2017","1","2","18","26","33"
"02/09/2017","10","14","16","17","34"
"02/08/2017","13","15","28","29","30"
"02/07/2017","2","10","12","13","41"
"02/06/2017","11","13","26","27","32"
"02/05/2017","3","4","30","33","40"
"02/04/2017","1","7","15","19","26"
"02/03/2017","4","5","14","18","34"
"02/02/2017","3","5","6","33","40"
"02/01/2017","10","20","23","25","39"
"01/31/2017","11","13","21","36","41"
"01/30/2017","18","22","30","33","36"
"01/29/2017","1","7","10","12","17"
"01/28/2017","9","15","23","32","38"
"01/27/2017","6","8","32","33","40"
"01/26/2017","14","21","31","32","36"
"01/25/2017","11","23","24","33","34"
"01/24/2017","8","13","17","20","36"
"01/23/2017","10","16","27","30","33"
"01/22/2017","1","3","4","6","23"
"01/21/2017","2","4","22","32","38"
"01/20/2017","2","15","18","19","21"
"01/19/2017","2","4","5","20","21"
"01/18/2017","21","22","29","38","40"
"01/17/2017","10","27","28","32","37"
"01/16/2017","5","6","8","37","40"
"01/15/2017","2","9","11","40","41"
"01/14/2017","10","11","17","28","34"
"01/13/2017","13","15","17","18","37"
"01/12/2017","9","14","21","34","35"
"01/11/2017","20","22","26","33","37"
"01/10/2017","3","16","18","28","31"
"01/09/2017","3","24","31","33","37"
"01/08/2017","1","27","28","38","40"
"01/07/2017","4","20","25","33","40"
"01/06/2017","7","23","25","27","32"
"01/05/2017","5","6","7","13","28"
"01/04/2017","3","7","17","30","36"
"01/03/2017","9","18","20","37","40"
"01/02/2017","1","14","21","27","37"
"01/01/2017","7","18","22","23","34"
"12/31/2016","10","12","25","26","40"
"12/30/2016","4","9","32","34","38"
"12/29/2016","2","13","16","24","33"
"12/28/2016","4","18","25","30","40"
"12/27/2016","7","10","27","28","33"
"12/26/2016","13","16","21","27","29"
"12/25/2016","10","21","32","34","35"
"12/24/2016","6","16","17","22","27"
"12/23/2016","16","21","24","40","41"
"12/22/2016","1","2","5","9","37"
"12/21/2016","1","10","17","19","37"
"12/20/2016","11","20","21","30","36"
"12/19/2016","1","5","22","26","30"
"12/18/2016","9","12","25","34","38"
"12/17/2016","2","3","6","18","28"
"12/16/2016","3","6","20","22","26"
"12/15/2016","3","4","9","24","27"
"12/14/2016","4","7","29","32","36"
